"a-profile href","a-profile-avatar src","a-profile-avatar","a-profile-name","a-size-base href","a-icon-alt","a-size-base","a-size-base 2","a-link-normal href","a-size-mini","a-size-base 3","a-size-base 4","a-size-base href 2","a-size-base 5","a-size-base 6","a-color-success","a-size-mini 2","a-size-mini href","a-size-mini 3"
"https://www.amazon.co.jp/gp/profile/amzn1.account.AHK7VBCJVRUVFN4CEFTXZBLDIXWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-fe.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-fe.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","鳩田ぽっぽ","https://www.amazon.co.jp/gp/customer-reviews/RF6SG3MPPFNS1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D2L64WQJ","5つ星のうち4.0","ビデオ会議用に購入","2025年1月11日に日本でレビュー済み","https://www.amazon.co.jp/EMEET-HS50-%E3%83%8E%E3%82%A4%E3%82%BA%E3%82%AD%E3%83%A3%E3%83%B3%E3%82%BB%E3%83%AA%E3%83%B3%E3%82%B0-%E3%82%AA%E3%83%B3%E3%82%A4%E3%83%A4%E3%83%BC%E3%83%98%E3%83%83%E3%83%89%E3%82%BB%E3%83%83%E3%83%88-%E3%83%A1%E3%83%BC%E3%82%AB%E3%83%BC2%E5%B9%B4%E4%BF%9D%E8%A8%BC%E4%BB%98%E3%81%8D/product-reviews/B0D2L64WQJ/ref=cm_cr_arp_d_rvw_rvwer?ie=UTF8&reviewerType=avp_only_reviews","Amazonで購入","眼鏡しながらだと耳が痛い。あと、少し遅延が気になる。音質は普通。","レポート","https://www.amazon.co.jp/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hOnh02b9lKCG%2FIgavFj2atPfYdyQx8AqX6NyqAwwjCavAAAAAGfzySgAAAAB&reviewId=RF6SG3MPPFNS1","コメントを表示","","","","",""
reviewId=R3BESGJ1QV3LON","レポート","コメントを表示","","","",""
"https://www.amazon.co.jp/gp/profile/amzn1.account.AELWJDHNJJXD7MDMHWQQFEBHWGHQ/re"https://www.amazon.co.jp/gp/profile/amzn1.account.AFORXXRELTYKN6CVPQBOU36E5KUA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-fe.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-fe.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","ｋ","https://www.amazon.co.jp/gp/customer-reviews/R2NDVZVH2QL8P4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D2L64WQJ","5つ星のうち5.0","音質もよく　高級感ある","2024年10月28日に日本でレビュー済み","https://www.amazon.co.jp/EMEET-HS50-%E3%83%8E%E3%82%A4%E3%82%BA%E3%82%AD%E3%83%A3%E3%83%B3%E3%82%BB%E3%83%AA%E3%83%B3%E3%82%B0-%E3%82%AA%E3%83%B3%E3%82%A4%E3%83%A4%E3%83%BC%E3%83%98%E3%83%83%E3%83%89%E3%82%BB%E3%83%83%E3%83%88-%E3%83%A1%E3%83%BC%E3%82%AB%E3%83%BC2%E5%B9%B4%E4%BF%9D%E8%A8%BC%E4%BB%98%E3%81%8D/product-reviews/B0D2L64WQJ/ref=cm_cr_arp_d_rvw_rvwer?ie=UTF8&reviewerType=avp_only_reviews","Amazonで購入","非常に安いのに、高級感あり","レポート","https://www.amazon.co.jp/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hOzrLCtb1zjpBRQFJzVsjSc99XpN6O2g%2FFOt2JXzgVqmAAAAAGfzySgAAAAB&reviewId=R2NDVZVH2QL8P4","コメントを表示","","","","",""
"https://www.amazon.co.jp/gp/profile/amzn1.account.AE6UURWBRE64WYWPXKXH26J3DZ2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-fe.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-fe.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","SUZUKI","https://www.amazon.co.jp/gp/customer-reviews/R3BESGJ1QV3LON/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D2L64WQJ","5つ星のうち3.0","耳痛くなる","2024年9月23日に日本でレビュー済み","https://www.amazon.co.jp/EMEET-HS50-%E3%83%8E%E3%82%A4%E3%82%BA%E3%82%AD%E3%83%A3%E3%83%B3%E3%82%BB%E3%83%AA%E3%83%B3%E3%82%B0-%E3%82%AA%E3%83%B3%E3%82%A4%E3%83%A4%E3%83%BC%E3%83%98%E3%83%83%E3%83%89%E3%82%BB%E3%83%83%E3%83%88-%E3%83%A1%E3%83%BC%E3%82%AB%E3%83%BC2%E5%B9%B4%E4%BF%9D%E8%A8%BC%E4%BB%98%E3%81%8D/product-reviews/B0D2L64WQJ/ref=cm_cr_arp_d_rvw_rvwer?ie=UTF8&reviewerType=avp_only_reviews","Amazonで購入","長時間かけると、耳痛くなります!","3人のお客様がこれが役に立ったと考えています","https://www.amazon.co.jp/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hC%2BkU0GBxE8ObIvgYIkqziKrsPNk9lWvMfgn1ny7v6PNAAAAAGfzySgAAAAB&f=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-fe.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-fe.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","FKO","https://www.amazon.co.jp/gp/customer-reviews/R2VCPOHA5BNAR7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D2L64WQJ","5つ星のうち2.0","壊れてる？","2025年3月11日に日本でレビュー済み","https://www.amazon.co.jp/EMEET-HS50-%E3%83%8E%E3%82%A4%E3%82%BA%E3%82%AD%E3%83%A3%E3%83%B3%E3%82%BB%E3%83%AA%E3%83%B3%E3%82%B0-%E3%82%AA%E3%83%B3%E3%82%A4%E3%83%A4%E3%83%BC%E3%83%98%E3%83%83%E3%83%89%E3%82%BB%E3%83%83%E3%83%88-%E3%83%A1%E3%83%BC%E3%82%AB%E3%83%BC2%E5%B9%B4%E4%BF%9D%E8%A8%BC%E4%BB%98%E3%81%8D/product-reviews/B0D2L64WQJ/ref=cm_cr_arp_d_rvw_rvwer?ie=UTF8&reviewerType=avp_only_reviews","Amazonで購入","セールになっていたので飛びついたが、マイクの方のミュートが機能しない、LEDランプもつかない、何かやりかたがある？スピーカーの方は正常、他の書き込みあるように頑丈にできてる分、確かに硬いので耳が痛くなる。マイクと口の間の距離が結構離れていて、きちんと声が届いているかが、いつも不安。一応会議は出来ているようですが、タイプCとUSB両使いができて便利ミュートできないので星2です。","レポート","https://www.amazon.co.jp/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hKeUcPVK7Rx0VIrUTXpnCokDmVSU%2FEd7w1KataoOuexNAAAAAGfzySgAAAAB&reviewId=R2VCPOHA5BNAR7","コメントを表示","","","","",""
"https://www.amazon.co.jp/gp/profile/amzn1.account.AFRHGGQZMV5DYXCQ2PLKSYYKR3XQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-fe.ssl-images-amazon.com/images/S/amazon-avatars-global/8d985e43-fe9d-4ee8-b099-bbb577e4550e._CR0,0,500,500_SX48_.jpg","<img src=""https://images-fe.ssl-images-amazon.com/images/S/amazon-avatars-global/8d985e43-fe9d-4ee8-b099-bbb577e4550e._CR0,0,500,500_SX48_.jpg""/>","中嶋　映支","https://www.amazon.co.jp/gp/customer-reviews/R1DRMRO6JHA1OP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D2L64WQJ","5つ星のうち4.0","非常に安いヘッドセットよりは良かった","2024年10月13日に日本でレビュー済み","https://www.amazon.co.jp/EMEET-HS50-%E3%83%8E%E3%82%A4%E3%82%BA%E3%82%AD%E3%83%A3%E3%83%B3%E3%82%BB%E3%83%AA%E3%83%B3%E3%82%B0-%E3%82%AA%E3%83%B3%E3%82%A4%E3%83%A4%E3%83%BC%E3%83%98%E3%83%83%E3%83%89%E3%82%BB%E3%83%83%E3%83%88-%E3%83%A1%E3%83%BC%E3%82%AB%E3%83%BC2%E5%B9%B4%E4%BF%9D%E8%A8%BC%E4%BB%98%E3%81%8D/product-reviews/B0D2L64WQJ/ref=cm_cr_arp_d_rvw_rvwer?ie=UTF8&reviewerType=avp_only_reviews","Amazonで購入","音声のボリュームもパソコンの音声MAX100%でなくても、80%くらいのボリュームで音声が聞き取れる。マイクもパソコンで音声の幅で自動的に適量音量になることが少なく、60～70%のマイクボリュームで使用ができて、ノイズキャンセリング機能で音声も相手に聞きやすいクリアな音声が出せる。一部、プラスチックで製造されていて、太さがあり丈夫でプラスチックが割れにくい製品になっている。ヘッドセットに、音声調整機能がついているため、チャット中でも音量調整ができて使いやすかった。デメリットとして、ヘッドセットの耳抑えのバネが強く、長時間使用していると耳が痛かった。耳骨部分にクッションをずらして使用している。","4人のお客様がこれが役に立ったと考えています","https://www.amazon.co.jp/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hKzwg7DZT%2BgS9jmQvLMybwujoptvGz%2FZgGYH9cHISr%2B8AAAAAGfzySgAAAAB&reviewId=R1DRMRO6JHA1OP","レポート","コメントを表示","","","",""
"https://www.amazon.co.jp/gp/profile/amzn1.account.AHIRKUUVYAPL74BTMAKWGGQNBH2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-fe.ssl-images-amazon.com/images/S/amazon-avatars-global/c61fbd45-97f0-48e1-90d9-0658f1c6b3bf._CR0,0,375,375_SX48_.jpg","<img src=""https://images-fe.ssl-images-amazon.com/images/S/amazon-avatars-global/c61fbd45-97f0-48e1-90d9-0658f1c6b3bf._CR0,0,375,375_SX48_.jpg""/>","gosky88","https://www.amazon.co.jp/gp/customer-reviews/R3OT0EML3TC8MC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D2L64WQJ","5つ星のうち5.0","ウェブ会議でよく聞こえます","2024年9月14日に日本でレビュー済み","https://www.amazon.co.jp/EMEET-HS50-%E3%83%8E%E3%82%A4%E3%82%BA%E3%82%AD%E3%83%A3%E3%83%B3%E3%82%BB%E3%83%AA%E3%83%B3%E3%82%B0-%E3%82%AA%E3%83%B3%E3%82%A4%E3%83%A4%E3%83%BC%E3%83%98%E3%83%83%E3%83%89%E3%82%BB%E3%83%83%E3%83%88-%E3%83%A1%E3%83%BC%E3%82%AB%E3%83%BC2%E5%B9%B4%E4%BF%9D%E8%A8%BC%E4%BB%98%E3%81%8D/product-reviews/B0D2L64WQJ/ref=cm_cr_arp_d_rvw_rvwer?ie=UTF8&reviewerType=avp_only_reviews","Amazonで購入","前に使用していたメジャー品が一年で故障したので買い替えて、早速WEB会議で使用しました。音が厚いし、聞こえやすい。相手にもクリアに聞こえてるようです。あと、かけ心地は耳に優しくソフトな装着感が○でした。","2人のお客様がこれが役に立ったと考えています","https://www.amazon.co.jp/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hIUgabCgaCfEeNtY2AX6o1MC%2Bfo36COGnXmBNs5GhVRgAAAAAGfzySgAAAAB&reviewId=R3OT0EML3TC8MC","レポート","コメントを表示","","","",""
"https://www.amazon.co.jp/gp/profile/amzn1.account.AFJEYFYL26OETAR2ZVHJZQEZWVGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-fe.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-fe.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Annabell","https://www.amazon.co.jp/gp/customer-reviews/R171YNSX1OI574/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D2L64WQJ","5つ星のうち4.0","レポート","2025年3月5日に日本でレビュー済み","https://www.amazon.co.jp/EMEET-HS50-%E3%83%8E%E3%82%A4%E3%82%BA%E3%82%AD%E3%83%A3%E3%83%B3%E3%82%BB%E3%83%AA%E3%83%B3%E3%82%B0-%E3%82%AA%E3%83%B3%E3%82%A4%E3%83%A4%E3%83%BC%E3%83%98%E3%83%83%E3%83%89%E3%82%BB%E3%83%83%E3%83%88-%E3%83%A1%E3%83%BC%E3%82%AB%E3%83%BC2%E5%B9%B4%E4%BF%9D%E8%A8%BC%E4%BB%98%E3%81%8D/product-reviews/B0D2L64WQJ/ref=cm_cr_arp_d_rvw_rvwer?ie=UTF8&reviewerType=avp_only_reviews","Amazonで購入","レビュー を日本語に翻訳する","コメントを表示","https://www.amazon.co.jp/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hCnH4tv9TjTbm2E3kZbxNY3GlGeKwGb8Q0oqfi3OtZ3qAAAAAGfzySgAAAAB&reviewId=R171YNSX1OI574","","","","","",""
"https://www.amazon.co.jp/gp/profile/amzn1.account.AEY4VWORRFZDSNFOKXASGLZDTDYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-fe.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-fe.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Walkman","https://www.amazon.co.jp/gp/customer-reviews/R2RDZMF2B9DBQF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D2L64WQJ","5つ星のうち1.0","音質悪いし頭痛い","2025年3月20日に日本でレビュー済み","https://www.amazon.co.jp/EMEET-HS50-%E3%83%8E%E3%82%A4%E3%82%BA%E3%82%AD%E3%83%A3%E3%83%B3%E3%82%BB%E3%83%AA%E3%83%B3%E3%82%B0-%E3%82%AA%E3%83%B3%E3%82%A4%E3%83%A4%E3%83%BC%E3%83%98%E3%83%83%E3%83%89%E3%82%BB%E3%83%83%E3%83%88-%E3%83%A1%E3%83%BC%E3%82%AB%E3%83%BC2%E5%B9%B4%E4%BF%9D%E8%A8%BC%E4%BB%98%E3%81%8D/product-reviews/B0D2L64WQJ/ref=cm_cr_arp_d_rvw_rvwer?ie=UTF8&reviewerType=avp_only_reviews","Amazonで購入","まず商品到着時の箱の開封シールが開封されており商品に使用感がないかとても疑いました。中の袋も雑な感じだったのでおそらく開封した返品商品をそのまま販売したものと思われます。音質は、こもった感じでガッカリ。妥協して使おうと思いましたがモノラルっぽいのでダメです。いままでで4つヘッドセット使ってますがこれはダメな音質です。あと、他のかたが言うように頭が締め付けで痛くなり自分は30分で嫌になりましたので今後が使いません。","レポート","https://www.amazon.co.jp/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hLiGGz0dk3ar%2B53W7285ne%2B5%2BQmMEbU2D2WeBAH3fdTGAAAAAGfzySgAAAAB&reviewId=R2RDZMF2B9DBQF","コメントを表示","","","","",""
"https://www.amazon.co.jp/gp/profile/amzn1.account.AEKQOMJVZ2JN2DEGIEOL4UNX3DNA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-fe.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-fe.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","サリー","https://www.amazon.co.jp/gp/customer-reviews/RTILELSJZ2C8L/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D2L64WQJ","5つ星のうち2.0","ＺＯＯＭで講座中やLIVE配信中に途中でマイクの音が30分おきくらいに切れる。","2025年3月21日に日本でレビュー済み","https://www.amazon.co.jp/EMEET-HS50-%E3%83%8E%E3%82%A4%E3%82%BA%E3%82%AD%E3%83%A3%E3%83%B3%E3%82%BB%E3%83%AA%E3%83%B3%E3%82%B0-%E3%82%AA%E3%83%B3%E3%82%A4%E3%83%A4%E3%83%BC%E3%83%98%E3%83%83%E3%83%89%E3%82%BB%E3%83%83%E3%83%88-%E3%83%A1%E3%83%BC%E3%82%AB%E3%83%BC2%E5%B9%B4%E4%BF%9D%E8%A8%BC%E4%BB%98%E3%81%8D/product-reviews/B0D2L64WQJ/ref=cm_cr_arp_d_rvw_rvwer?ie=UTF8&reviewerType=avp_only_reviews","Amazonで購入","音声などは悪くないですが、ＺＯＯＭで講座をしているときや、ＬＩＶＥ配信している最中にマイクの音がでなくなることが頻繁にあります。そのたびに、いったん抜いて接続しなおさなければいけないです。だいたい20分～30分に1回くらいは起こるので困ります、数回使いましたが古いものを使って、新しいものに買い替える予定です。","レポート","https://www.amazon.co.jp/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hF1oj9gH%2FZPTHkP9E0%2FU5F1McetrTMuHo8NvjlcLqV0LAAAAAGfzySgAAAAB&reviewId=RTILELSJZ2C8L","コメントを表示","","","","",""
"https://www.amazon.co.jp/gp/profile/amzn1.account.AEP73ILT566RQYQ5QFE5KT4T6ZHA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-fe.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-fe.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","A m a z o n カ ス タ マ ー","https://www.amazon.co.jp/gp/customer-reviews/R38UWKP55I2677/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D2L64WQJ","5つ星のうち3.0","USB規格違反","2024年11月26日に日本でレビュー済み","https://www.amazon.co.jp/EMEET-HS50-%E3%83%8E%E3%82%A4%E3%82%BA%E3%82%AD%E3%83%A3%E3%83%B3%E3%82%BB%E3%83%AA%E3%83%B3%E3%82%B0-%E3%82%AA%E3%83%B3%E3%82%A4%E3%83%A4%E3%83%BC%E3%83%98%E3%83%83%E3%83%89%E3%82%BB%E3%83%83%E3%83%88-%E3%83%A1%E3%83%BC%E3%82%AB%E3%83%BC2%E5%B9%B4%E4%BF%9D%E8%A8%BC%E4%BB%98%E3%81%8D/product-reviews/B0D2L64WQJ/ref=cm_cr_arp_d_rvw_rvwer?ie=UTF8&reviewerType=avp_only_reviews","Amazonで購入","USB type-Cのヘッドセットとしての品質は値段相応といった感じで特に問題ないです。ただ、type-C→type-Aに変換するコネクタが付いていますが、「usb type-c 変換 危険」などで検索しても分かる通り、危険な変換となるパーツです。買う前に気付かなかった自分が悪いのですが、type-AをCに変えるようなパーツ付きのヘッドセットだったら良かった…","レポート","https://www.amazon.co.jp/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hJuyNHXYY7znU%2F24dRMCP1CovfBMa5SZeTouNYglgLiQAAAAAGfzySgAAAAB&reviewId=R38UWKP55I2677","コメントを表示","","","","",""
